A19,A93
A6,A11
A28,A96
A64,A97
A29,A90
A86,A41
A10,A17
A55,A74
A71,A47
A89,A26
A6,A95
A61,A63
A26,A47
A88,A2
A88,A38
A69,A38
A10,A51
A59,A85
A47,A47
A55,A11
A89,A26
A22,A52
A26,A11
A7,A51
A95,A79
A48,A94
A93,A31
A86,A25
A79,A49
A10,A79
A59,A70
A89,A63
A93,A64
A53,A11
A57,A61
A5,A73
A1,A21
A86,A21
A10,A78
A55,A83
A62,A47
A87,A61
A23,A14
A38,A63
A62,A29
A27,A33
A88,A5
A30,A38
A40,A34
A59,A75
A15,A33
A55,A11
A93,A47
A75,A78
A37,A33
A78,A93
A20,A51
A31,A37
A99,A78
A86,A93
A81,A27
A10,A30
A90,A85
A70,A59
A4,A78
A47,A11
A66,A33
A86,A3
A71,A44
A24,A17
A10,A20
A55,A2
A62,A47
A41,A20
A92,A44
A62,A22
A62,A20
A57,A33
A45,A98
A85,A20
A24,A51
A81,A69
A27,A20
A48,A56
A16,A82
A51,A78
A4,A33
A28,A53
A60,A82
A31,A25
A12,A78
A8,A20
A82,A90
A10,A13
A69,A70
A13,A42
A38,A14
A23,A72
A86,A17
A73,A43
A76,A60
A21,A21
A52,A20
A23,A36
A77,A34
A68,A14
A11,A45
A38,A40
A62,A20
A64,A33
A38,A14
A50,A31
A1,A96
A68,A25
A64,A20
A50,A63
A82,A32
A14,A28
A37,A33
A59,A61
A26,A82
A40,A36
A64,A62
A20,A15
A32,A29
A52,A96
A74,A61
A15,A40
A94,A14
A67,A79
A91,A3
A87,A39
A9,A86
A91,A12
A61,A86
A23,A82
A19,A27
A12,A20
A61,A98
A38,A27
A21,A20
A64,A58
A38,A14
A61,A71
A10,A90
A68,A76
A52,A20
A44,A67
A48,A18
A44,A88
A2,A33
A94,A53
A40,A67
A2,A71
A64,A12
A86,A20
A20,A34
A5,A19
A16,A18
A12,A3
A53,A47
A32,A41
A91,A3
A3,A43
A55,A92
A83,A12
A61,A86
A76,A92
A59,A4
A62,A20
A51,A65
A38,A27
A21,A78
A38,A36
A27,A35
A61,A71
A17,A42
A76,A30
A73,A63
A44,A58
A79,A18
A17,A3
A2,A57
A94,A10
A41,A67
A42,A93
A21,A62
A96,A20
A90,A65
A63,A32
A35,A49
A94,A77
A15,A79
A68,A19
A86,A3
A99,A90
A52,A89
A68,A98
A80,A19
A89,A28
A28,A50
A85,A79
A65,A15
A61,A1
A44,A81
A71,A28
A56,A87
A61,A31
A67,A44
A33,A37
A71,A31
A11,A28
A47,A37
A17,A31
A42,A68
A23,A5
A14,A11
A26,A48
A42,A64
A71,A69
A78,A47
A11,A57
A33,A77
A11,A68
A51,A31
A20,A5
A66,A7
A16,A67
A1,A79
A88,A88
A40,A96
A34,A28
A24,A63
A74,A79
A65,A24
A21,A32
A21,A94
A16,A28
A76,A58
A61,A88
A11,A30
A91,A37
A71,A31
A11,A29
A20,A37
A43,A31
A42,A23
A74,A67
A51,A88
A85,A22
A51,A42
A71,A75
A18,A86
A11,A88
A33,A82
A59,A52
A51,A77
A42,A5
A78,A85
A0,A67
A53,A79
A39,A3
A73,A84
A56,A28
A70,A41
A27,A89
A88,A69
A21,A89
A81,A77
A58,A16
A72,A47
A59,A88
A77,A41
A80,A89
A75,A31
A11,A66
A72,A89
A98,A90
A53,A48
A48,A43
A15,A3
A77,A10
A70,A27
A71,A85
A27,A3
A11,A88
A9,A90
